Department,FullTimePartTime,Tenure,ManagementLevel,HiltonCSR,WellInformed,JobSatisfaction,RewardsJustice,GenX,Millennial,GenZ,MCPaysat,all_eng,all_workenv,all_treat,all_adeq,all_reward,all_learn,all_wrklfe,all_mgt,ClearJobExpectations,IntentToStayHighLow
5,5.0,7.0,2,4.0,4.0,5.0,2.0,0,1,0,1.38,4.5,4.357142857142857,4.0,4.0,4.5,4.1875,3.0,4.25,4.5,1
1,4.0,8.0,2,3.0,4.0,4.0,2.0,1,0,0,-1.62,4.0,4.142857142857143,3.75,4.0,4.0,3.3125,3.5,3.875,3.5,0
5,5.0,7.0,3,4.0,5.0,4.0,5.0,1,0,0,0.3799999999999999,4.7,4.285714285714286,4.75,4.0,4.0,4.3125,4.5,4.5,4.5,0
15,4.0,2.0,2,4.0,4.0,4.0,5.0,0,1,0,0.3799999999999999,4.8,4.142857142857143,4.5,4.5,5.0,4.875,3.0,5.0,4.0,1
21,5.0,7.0,3,5.0,4.0,4.0,4.0,0,0,0,0.3799999999999999,4.7,4.642857142857143,4.5,5.0,4.0,3.875,4.0,4.375,4.0,1
27,4.0,7.0,2,5.0,4.0,4.0,4.0,0,1,0,0.3799999999999999,4.0,4.571428571428571,4.25,4.5,4.5,4.75,4.0,4.5,4.0,0
9,5.0,3.0,4,3.0,2.0,4.0,2.0,0,1,0,0.3799999999999999,3.3,3.7142857142857144,4.0,3.0,4.0,3.375,4.0,3.625,4.0,0
21,3.0,4.0,4,5.0,5.0,5.0,5.0,0,1,0,-1.62,5.0,5.0,4.75,5.0,3.5,4.8125,5.0,4.625,4.0,1
13,3.0,8.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
25,3.0,2.0,3,3.0,3.0,4.0,3.0,0,1,0,0.3799999999999999,3.9,4.285714285714286,4.0,4.5,4.0,3.4375,4.5,4.0,4.5,0
5,3.0,8.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,4.785714285714286,4.75,4.5,5.0,5.0,5.0,5.0,5.0,1
12,3.0,8.0,3,4.0,3.0,4.0,4.0,0,0,0,0.3799999999999999,4.3,4.285714285714286,4.75,4.0,4.5,4.375,4.5,4.875,4.5,0
5,3.0,8.0,3,5.0,4.0,5.0,5.0,1,0,0,1.38,4.8,4.714285714285714,4.5,4.5,5.0,3.8125,5.0,4.125,4.5,1
23,3.0,6.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
9,5.0,7.0,3,4.0,4.0,5.0,4.0,0,1,0,1.38,5.0,5.0,4.5,4.5,5.0,4.8125,5.0,4.625,4.5,0
7,4.0,4.0,2,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
31,3.0,6.0,3,4.0,4.0,4.0,5.0,0,0,0,1.38,4.3,4.571428571428571,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1
21,3.0,4.0,4,4.0,4.0,4.0,4.0,1,0,0,1.38,4.2,3.9285714285714284,3.5,4.0,4.0,3.5,4.0,3.0,4.0,0
21,3.0,6.0,3,5.0,5.0,5.0,5.0,1,0,0,-0.6200000000000001,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
29,3.0,3.0,2,4.0,5.0,5.0,4.0,0,0,0,0.3799999999999999,5.0,5.0,4.75,5.0,4.5,4.875,5.0,5.0,5.0,1
